Date,Closing Price,MonthlyGainOrLoss
1-Aug-81,129.6,0.003872967
1-Jul-81,129.1,-0.024187453
1-Jun-81,132.3,0.004555809
1-May-81,131.7,-0.020089286
1-Apr-81,134.4,0.009009009
1-Mar-81,133.2,0.037383178
1-Feb-81,128.4,-0.034586466
1-Jan-81,133,-0.003745318
1-Dec-80,133.5,-0.016212233
1-Nov-80,135.7,0.042242704
1-Oct-80,130.2,0.029249012
1-Sep-80,126.5,0.024291498
1-Aug-80,123.5,0.030884808
1-Jul-80,119.8,0.045375218
1-Jun-80,114.6,0.064066852
1-May-80,107.7,0.045631068
1-Apr-80,103,-0.016236867
1-Mar-80,104.7,-0.091934085
1-Feb-80,115.3,0.039675383
1-Jan-80,110.9,0.028756957
1-Dec-79,107.8,0.039537126
1-Nov-79,103.7,-0.007655502
1-Oct-79,104.5,-0.037753223
1-Sep-79,108.6,0.011173184
1-Aug-79,107.4,0.045764362
1-Jul-79,102.7,0.009832842
1-Jun-79,101.7,0.019753334
1-May-79,99.73,-0.023212537
1-Apr-79,102.1,0.01998002
1-Mar-79,100.1,0.019036954
1-Feb-79,98.23,-0.014843045
1-Jan-79,99.71,0.03745708
1-Dec-78,96.11,0.014781966
1-Nov-78,94.71,-0.058548708
1-Oct-78,100.6,-0.031761309
1-Sep-78,103.9,0
1-Aug-78,103.9,0.069040025
1-Jul-78,97.19,-0.004812615
1-Jun-78,97.66,0.002566472
1-May-78,97.41,0.050695718
1-Apr-78,92.71,0.043796442
1-Mar-78,88.82,-0.001798157
1-Feb-78,88.98,-0.014072022
1-Jan-78,90.25,-0.038051588
1-Dec-77,93.82,-0.004879084
1-Nov-77,94.28,0.005760614
1-Oct-77,93.74,-0.025875507
1-Sep-77,96.23,-0.015549872
1-Aug-77,97.75,-0.024451098
1-Jul-77,100.2,0.009165072
1-Jun-77,99.29,0.005366545
1-May-77,98.76,-0.002927814
1-Apr-77,99.05,-0.015407555
1-Mar-77,100.6,-0.003960396
1-Feb-77,101,-0.026974952
1-Jan-77,103.8,-0.008595989
1-Dec-76,104.7,0.03458498
1-Nov-76,101.2,-0.00686948
1-Oct-76,101.9,-0.034123223
1-Sep-76,105.5,0.021297193
1-Aug-76,103.3,-0.008637236
1-Jul-76,104.2,0.023575639
1-Jun-76,101.8,0.005928854
1-May-76,101.2,-0.00686948
1-Apr-76,101.9,0.007912957
1-Mar-76,101.1,0.004970179
1-Feb-76,100.6,0.03861243
1-Jan-76,96.86,0.09199549
1-Dec-75,88.7,-0.015210392
1-Nov-75,90.07,0.016935757
1-Oct-75,88.57,0.046061179
1-Sep-75,84.67,-0.01213394
1-Aug-75,85.71,-0.073305222
1-Jul-75,92.49,0.000974026
1-Jun-75,92.4,0.025527192
1-May-75,90.1,0.063503305
1-Apr-75,84.72,0.011219862
1-Mar-75,83.78,0.045942572
1-Feb-75,80.1,0.103914002
1-Jan-75,72.56,0.081854779
1-Dec-74,67.07,-0.065096181
1-Nov-74,71.74,0.03312212
1-Oct-74,69.44,0.019377569
1-Sep-74,68.12,-0.10403788
1-Aug-74,76.03,-0.041356702
1-Jul-74,79.31,-0.116716784
1-Jun-74,89.79,0.00133824
1-May-74,89.67,-0.030175211
1-Apr-74,92.46,-0.051108374
1-Mar-74,97.44,0.042696629
1-Feb-74,93.45,-0.027676621
1-Jan-74,96.11,0.014032496
1-Dec-73,94.78,-0.070784314
1-Nov-73,102,-0.071038251
1-Oct-73,109.8,0.039772727
1-Sep-73,105.6,0.01734104
1-Aug-73,103.8,-0.018903592
1-Jul-73,105.8,0.009541985
1-Jun-73,104.8,-0.02238806
1-May-73,107.2,-0.028105168
1-Apr-73,110.3,-0.018683274
1-Mar-73,112.4,-0.015761821
1-Feb-73,114.2,-0.035472973
1-Jan-73,118.4,0.007659574
1-Dec-72,117.5,0.020851434
1-Nov-72,115.1,0.050182482
1-Oct-72,109.6,0.001828154
1-Sep-72,109.4,-0.014414414
1-Aug-72,111,0.035447761
1-Jul-72,107.2,-0.007407407
1-Jun-72,108,0.002785515
1-May-72,107.7,-0.010110294
1-Apr-72,108.8,0.010213556
1-Mar-72,107.7,0.023764259
1-Feb-72,105.2,0.01839303
1-Jan-72,103.3,0.041645659
1-Dec-71,99.17,0.068872602
1-Nov-71,92.78,-0.046356254
1-Oct-71,97.29,-0.021227364
1-Sep-71,99.4,0.022213081
1-Aug-71,97.24,-0.017777778
1-Jul-71,99,-0.007220217
1-Jun-71,99.72,-0.018503937
1-May-71,101.6,-0.013592233
1-Apr-71,103,0.034136546
1-Mar-71,99.6,0.025641026
1-Feb-71,97.11,0.038720719
1-Jan-71,93.49,0.038200999
1-Dec-70,90.05,0.068462269
1-Nov-70,84.28,-0.00106673
1-Oct-70,84.37,0.021675951
1-Sep-70,82.58,0.059804928
1-Aug-70,77.92,0.029054411
1-Jul-70,75.72,0.001719804
1-Jun-70,75.59,-0.006179332
1-May-70,76.06,-0.115066899
1-Apr-70,85.95,-0.030456853
1-Mar-70,88.65,0.017094998
1-Feb-70,87.16,-0.034879858
1-Jan-70,90.31,-0.008780595
1-Dec-69,91.11,-0.053009043
1-Nov-69,96.21,0.007223618
1-Oct-69,95.52,0.0106867
1-Sep-69,94.51,0.003503929
1-Aug-69,94.18,-0.00559603
1-Jul-69,94.71,-0.044684285
1-Jun-69,99.14,-0.052198853
1-May-69,104.6,0.032576505
1-Apr-69,101.3,0.020140987
1-Mar-69,99.3,-0.021674877
1-Feb-69,101.5,-0.004901961
1-Jan-69,102,-0.042253521
1-Dec-68,106.5,0.010436433
1-Nov-68,105.4,0.015414258
1-Oct-68,103.8,0.024679171
1-Sep-68,101.3,0.032514525
1-Aug-68,98.11,-0.021834497
1-Jul-68,100.3,-0.00199005
1-Jun-68,100.5,0.026872382
1-May-68,97.87,0.022995714
1-Apr-68,95.67,0.073857897
1-Mar-68,89.09,-0.018292011
1-Feb-68,90.75,-0.045138889
1-Jan-68,95.04,-0.002728227
1-Dec-67,95.3,0.028491258
1-Nov-67,92.66,-0.03136107
1-Oct-67,95.66,-0.001565599
1-Sep-67,95.81,0.013969732
1-Aug-67,94.49,0.015912267
1-Jul-67,93.01,0.01728098
1-Jun-67,91.43,-0.012528351
1-May-67,92.59,0.017919965
1-Apr-67,90.96,0.017222098
1-Mar-67,89.42,0.023580586
1-Feb-67,87.36,0.034458259
1-Jan-67,84.45,0.038362228
1-Dec-66,81.33,0.004198049
1-Nov-66,80.99,0.050045378
1-Oct-66,77.13,-0.008739237
1-Sep-66,77.81,-0.035213887
1-Aug-66,80.65,-0.060461323
1-Jul-66,85.84,-0.002556356
1-Jun-66,86.06,-0.008296843
1-May-66,86.78,-0.052620087
1-Apr-66,91.6,0.03060306
1-Mar-66,88.88,-0.041104758
1-Feb-66,92.69,-0.006750964
1-Jan-66,93.32,0.017333479
1-Dec-65,91.73,-0.004557786
1-Nov-65,92.15,0.008316008
1-Oct-65,91.39,0.022488252
1-Sep-65,89.38,0.033414268
1-Aug-65,86.49,0.018607938
1-Jul-65,84.91,-0.001528692
1-Jun-65,85.04,-0.047491039
